project_id,project_name,description,country_name,state_name,city_name,currency,budget_raw,budget_usd_clean,sector_main,project_type,is_infrastructure_project,is_megaproject,delivery_method,timestamp,timestamp_label,source,url,failed_or_problematic
1,Replace Forcemain at Bond’s Path; rehabilitate two sewer lift stations and replace water service laterals,"(1) Replacement of a section of sewer force main at Bond Road. (2) Refurbishment of two sewer lift stations to remove existing dilapidated panels and replace with new PLC/RTU control panels suitable for remote monitoring and housed in a robust, industrial-grade stainless steel enclosure. These panels will include a generator box that mates with the city’s emergency generator, to provide power in the event of an emergency. (3) Replacement of water supply branch lines in the Dunville section of the city.",Canada,Newfoundland and Labrador,Unknown,CAD,213855.85,161423.74197625,"Steel, Water Supply And Storage, Manufacturing (Industrial), Waste Processing And Treatment, Power Generation (Ccgt), Road, Metal, Government",Unknown,True,False,Unknown,2016-09-09,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
2,Geometric Safety Improvements - Removal of Channelized Right Turns,Removal of right-turn channels and islands at at least 5 intersections per year to reduce vehicle speeds and add accessible pedestrian signals at key intersections.,Canada,Ontario,Unknown,CAD,3889100.0,3889100.0,Government,Unknown,False,False,Unknown,2017-07-01,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
3,"Repairs at the Les Saules, Charlesbourg and Beauport stations","Major repair work at the Les Saules, Charlesbourg and Beauport stations: sidewalks, low walls, paving, stairs, bathrooms, drivers. This work will ensure the safety of clients and employees alike.",Canada,Quebec,Unknown,CAD,250000.0,192589.25,Government,Unknown,True,False,Unknown,2017-12-17,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
4,Accessibility Rehabilitation of Recreational Centre,The project involves making the Recreation Centre more accessible for people with disabilities. The scope of work involves renovating the washrooms and bathrooms to provide wheelchair accessibility for users with accessibility needs. The community has a population of 995 and renovations to the recreation centre would accommodate the 77 residents in the community with mobility-related disability issues.The community has a population of 995 and renovations to the recreation centre would accommodate the 77 residents in the community with mobility-related disability issues.,Canada,Ontario,Unknown,CAD,231000.0,171940.23,Government,Unknown,False,False,Unknown,2024-06-06,estimated_start_date,Infrastructure Canada,https://housing-infrastructure.canada.ca/gmap-gcarte/index-eng.html,0
5,Edmonton Trail Hotel Development,No Description,Canada,Alberta,Calgary,CAD,2999999.0,2232989.25567,"Hotel, Mass Transit, Rail, Commercial",Unknown,True,False,Unknown,2024-05-06,publish_date,DODGE,https://www.construction.com/projects/dr-202000672767-edmonton-trail-hotel-development,0
6,St. Thomas Elgin General Hospital,"The project involved the construction of a three-storey, 106,000 square foot addition to the northwest side of the current hospital building.",Canada,Unknown,Unknown,CAD,63300000.0,57323403.9,"Commercial, Hospital, Government",Unknown,True,False,Unknown,2014-08-13,project_start_date,Infrastructre Ontario,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/st.-thomas-elgin-general-hospital,0
7,Paint Lake Provincial Park WW Lift Station & Raw Water,"Rehabilitation of an existing wastewater lift station with new submersible pumps and associated site, process mechanical, electrical and automation works. Construction of a new Raw Water Intake wet well including new intake piping, intake screen, submersible pump system, and associated site, process mechanical, electrical and automation works. Details of the scope of Work required for the project are set out in the project Specifications.",Canada,Manitoba,Winnipeg,CAD,1183164.0,943722.368664,"Water Supply And Storage, Car Parking, Power Generation (Ccgt), Waste Processing And Treatment, Government, Automotive, Commercial",Unknown,True,False,Unknown,2021-02-24,publish_date,DODGE,https://www.construction.com/projects/dr-202100478888-paint-lake-provincial-park-ww-lift-station-raw-water,0
8,Le Market Condos Master Report,"D?un cote, 2 immeubles proposeront 220 unites a l?architecture originale. Au rez-de-chaussee, un basilaire lumineux comprenant une piscine, un sauna et un gym reliera les deux tours en offrant une vue degagee sur les jardins. Au toit, on retrouvera une zone lounge, un bar, un espace-yoga et une terrasse. La presence de la nature se fait sentir autant a l?exterieur, avec un superbe amenagement paysager, qu? a l?interieur ou la verdure fait partie integrante du design du decor. De l?autre cote,...",Canada,Quebec,Laval,CAD,1.0,0.797626,"Residential, Commercial, Manufacturing (Industrial)",Unknown,False,False,Unknown,2021-10-12,publish_date,DODGE,https://www.construction.com/projects/dr-201900710442-le-market-condos-master-report,0
9,2023 Winter Drain,"The work to be done under this specification consists of supplying all labour, materials, and equipment to construct the work as outlined on the drawing(s). In some Municipalities the Contractor shall supply all materials while in other Municipalities he shall supply only certain materials.",Canada,Ontario,Strathroy,CAD,110966.0,82595.32278,"Water Supply And Storage, Government, Waste Processing And Treatment, Commercial",Unknown,True,False,Unknown,2024-03-11,publish_date,DODGE,https://www.construction.com/projects/dr-202400068244-2023-winter-drain,0
10,Driveway-Parking Lots Pavement Renovations,Scope - The Work of this Contract comprises the following: .1 Parking lot replacement. .2 Parking lot mill and overlay. .3 Curb and gutters replacement. .4 Adding parking stalls. .5 Install heat trace on storm water pipes. .6 MH ring replacement and re-alignment. .7 Fire hydrant relocating.,Canada,Alberta,Leduc,CAD,1388000.0,1033130.04,"Water Supply And Storage, Car Parking, Road, Waste Processing And Treatment, Automotive, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2023-09-14,publish_date,DODGE,https://www.construction.com/projects/dr-202300324244-driveway-parking-lots-pavement-renovations,0
11,Stettler Regional Airport Runway Rehabilitation,"The Work is comprised of approximately: 8,075 sq.m. of runway structure removal and replacement 12,075 sq.m. of runway milling and overlay (100mm depth) 1,125 sq.m. of taxiway milling and overlay (50mm depth) 5,460 tonnes of asphalt installation Aerodrome runway line painting",Canada,Alberta,Stettler,CAD,1860922.0,1385140.07226,"Airport, Road, Aerospace & Defense, Government, Commercial, Manufacturing (Industrial)",Unknown,True,False,Unknown,2024-07-19,publish_date,DODGE,https://www.construction.com/projects/dr-202400098974-stettler-regional-airport-runway-rehabilitation,0
12,Route 281 Bridge P-00930 Repair,"Repair of the P-00930 bridge located on route 281, over the Armagh River, in the municipality d'Armagh, MRC de Bellechasse, electoral district of Bellechasse.",Canada,Quebec,Levis,CAD,1144048.0,851549.24784,"Bridge, Government, Road, Commercial",Unknown,True,False,Unknown,2023-04-25,publish_date,DODGE,https://www.construction.com/projects/dr-202300107273-route-281-bridge-p-00930-repair,0
